Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
uw,60497597,3,"Saturday, January 26, 2013 10:06:52 UTC",48.2052,-121.7630,1.8,9.60,27,"Washington"
ak,10645333,1,"Saturday, January 26, 2013 10:06:44 UTC",63.9433,-149.0765,1.5,0.00, 9,"Central Alaska"
ak,10645329,1,"Saturday, January 26, 2013 09:57:17 UTC",60.0108,-152.7333,2.6,95.00,30,"Southern Alaska"
nn,00400956,9,"Saturday, January 26, 2013 09:39:03 UTC",38.1486,-118.0458,1.4,10.00,12,"Nevada"
us,c000evvj,6,"Saturday, January 26, 2013 09:36:41 UTC",13.1058,-89.2238,4.5,76.50,60,"offshore El Salvador"
nm,012613a,A,"Saturday, January 26, 2013 09:34:11 UTC",35.2596,-92.3338,2.0,6.90,15,"Arkansas"
nc,71929041,0,"Saturday, January 26, 2013 09:13:51 UTC",38.8077,-122.7797,1.2,2.20,21,"Northern California"
hv,60458881,2,"Saturday, January 26, 2013 09:09:42 UTC",19.3872,-155.2822,2.4,3.10,25,"Island of Hawaii, Hawaii"
ak,10645321,1,"Saturday, January 26, 2013 08:53:37 UTC",65.9677,-150.3247,1.6,0.00, 8,"northern Alaska"
ak,10645315,1,"Saturday, January 26, 2013 08:12:52 UTC",63.5410,-147.3036,1.8,0.20,18,"Central Alaska"
ak,10645306,1,"Saturday, January 26, 2013 07:41:19 UTC",61.6783,-149.6409,2.0,39.20,24,"Southern Alaska"
ak,10645305,1,"Saturday, January 26, 2013 07:40:46 UTC",60.4754,-141.2440,1.8,19.90,10,"Southern Alaska"
ci,15277625,0,"Saturday, January 26, 2013 07:21:24 UTC",33.7777,-116.1615,1.3,6.30,60,"Southern California"
ci,15277617,0,"Saturday, January 26, 2013 06:17:50 UTC",32.6210,-115.7193,2.0,8.10,39,"Baja California, Mexico"
nc,71929011,1,"Saturday, January 26, 2013 06:12:45 UTC",38.8375,-122.8482,1.7,1.50,26,"Northern California"
ci,15277609,0,"Saturday, January 26, 2013 06:00:21 UTC",33.0210,-116.5310,1.2,16.30,26,"Southern California"
ci,15277601,0,"Saturday, January 26, 2013 05:48:37 UTC",33.3815,-116.7928,1.0,6.80,30,"Southern California"
nn,00400954,9,"Saturday, January 26, 2013 05:42:18 UTC",38.5484,-119.6269,1.0,8.50, 7,"Northern California"
ak,10645287,2,"Saturday, January 26, 2013 05:28:45 UTC",61.6291,-151.5557,3.4,76.50,75,"Southern Alaska"
us,c000evua,8,"Saturday, January 26, 2013 05:16:01 UTC",34.5712,24.0953,4.3,10.00,71,"Crete, Greece"
hv,60458721,1,"Saturday, January 26, 2013 05:12:55 UTC",19.2875,-155.4388,1.8,0.00,15,"Island of Hawaii, Hawaii"
pr,13026000,0,"Saturday, January 26, 2013 04:58:39 UTC",18.9839,-66.2009,3.2,123.00, 5,"Puerto Rico region"
hv,60458711,1,"Saturday, January 26, 2013 04:40:24 UTC",19.6533,-155.6588,1.9,15.20,30,"Island of Hawaii, Hawaii"
ak,10645273,1,"Saturday, January 26, 2013 03:40:28 UTC",63.3845,-151.1431,2.7,1.30,28,"Central Alaska"
ci,15277585,0,"Saturday, January 26, 2013 02:56:37 UTC",33.7785,-116.1608,1.1,6.30,50,"Southern California"
nc,71928936,0,"Saturday, January 26, 2013 02:34:42 UTC",37.5202,-118.6647,1.4,13.80,10,"Central California"
nc,71928921,0,"Saturday, January 26, 2013 02:25:01 UTC",37.5593,-121.8282,1.4,8.30,13,"San Francisco Bay area, California"
nc,71928916,1,"Saturday, January 26, 2013 02:12:12 UTC",37.3528,-121.7202,2.2,6.40,50,"San Francisco Bay area, California"
nc,71928911,1,"Saturday, January 26, 2013 02:03:29 UTC",40.5313,-122.2515,2.9,30.60,20,"Northern California"
ak,10645157,1,"Saturday, January 26, 2013 01:29:23 UTC",63.3364,-145.2057,1.5,0.00,10,"Central Alaska"
ak,10645156,1,"Saturday, January 26, 2013 01:24:18 UTC",60.2413,-152.2024,1.4,51.20,10,"Southern Alaska"
ak,10645139,1,"Saturday, January 26, 2013 01:11:51 UTC",63.3625,-145.3227,3.2,0.30,37,"Central Alaska"
ci,15277561,0,"Saturday, January 26, 2013 01:05:10 UTC",33.5707,-116.6480,1.2,11.50,26,"Southern California"
nc,71928871,0,"Saturday, January 26, 2013 01:04:42 UTC",38.8145,-122.8152,1.1,2.60,15,"Northern California"
nc,71928861,1,"Saturday, January 26, 2013 00:59:17 UTC",37.8828,-122.2272,1.8,7.90,41,"San Francisco Bay area, California"
ci,15277545,0,"Saturday, January 26, 2013 00:55:01 UTC",33.7778,-116.1613,1.4,6.10,62,"Southern California"
nn,00400946,9,"Saturday, January 26, 2013 00:45:25 UTC",40.0897,-119.6555,1.0,12.70,11,"Nevada"
ak,10644925,1,"Saturday, January 26, 2013 00:18:08 UTC",65.0142,-147.3400,1.6,12.40, 8,"northern Alaska"
ak,10644924,2,"Saturday, January 26, 2013 00:03:40 UTC",51.1302,179.3504,2.9,11.10, 9,"Rat Islands, Aleutian Islands, Alaska"
nc,71928836,1,"Friday, January 25, 2013 23:50:54 UTC",38.8372,-122.8490,1.4,1.40,25,"Northern California"
us,c000evr6,7,"Friday, January 25, 2013 23:37:01 UTC",-23.6541,43.5530,5.3,14.00,217,"Madagascar"
nc,71928831,2,"Friday, January 25, 2013 23:31:40 UTC",38.0557,-118.9470,1.3,0.10,22,"Central California"
nc,71928816,0,"Friday, January 25, 2013 23:04:48 UTC",38.8353,-122.7837,1.2,2.30,19,"Northern California"
us,c000evqn,4,"Friday, January 25, 2013 22:40:56 UTC",9.4380,126.0995,4.7,83.70,51,"Mindanao, Philippines"
ak,10644904,1,"Friday, January 25, 2013 22:38:10 UTC",58.2593,-155.1220,1.5,1.90, 5,"Alaska Peninsula"
nc,71928796,2,"Friday, January 25, 2013 22:33:47 UTC",36.0785,-120.6430,1.1,2.20,20,"Central California"
ci,15277521,0,"Friday, January 25, 2013 22:21:56 UTC",33.7757,-116.1593,2.0,4.50,98,"Southern California"
uw,60497447,1,"Friday, January 25, 2013 22:13:02 UTC",49.4560,-120.4995,2.4,0.00,12,"British Columbia, Canada"
ak,10644890,1,"Friday, January 25, 2013 22:11:55 UTC",63.2658,-151.3385,1.3,16.10, 4,"Central Alaska"
nc,71928766,0,"Friday, January 25, 2013 22:05:53 UTC",37.3210,-122.1070,1.5,0.00, 8,"San Francisco Bay area, California"
